"","Facility.Name","City","Number.of.Patients"
"92","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"93","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"94","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"95","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"96","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"97","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"98","DEKALB REGIONAL MEDICAL CENTER","FORT PAYNE",NA
"99","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",100
"100","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",195
"101","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",200
"102","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"103","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"104","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"105","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"106","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"107","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"108","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"109","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"110","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"111","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"112","SHELBY BAPTIST MEDICAL CENTER","ALABASTER",NA
"113","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"114","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"115","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"116","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"117","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"118","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"119","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"120","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"121","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"122","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"123","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"124","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"125","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"126","CALLAHAN EYE HOSPITAL","BIRMINGHAM",NA
"127","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"128","HELEN KELLER HOSPITAL","SHEFFIELD",232
"129","HELEN KELLER HOSPITAL","SHEFFIELD",249
"130","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"131","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"132","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"133","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"134","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"135","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"136","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"137","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"138","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"139","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"140","HELEN KELLER HOSPITAL","SHEFFIELD",NA
"141","DALE MEDICAL CENTER","OZARK",NA
"142","DALE MEDICAL CENTER","OZARK",38
"143","DALE MEDICAL CENTER","OZARK",46
"144","DALE MEDICAL CENTER","OZARK",NA
"145","DALE MEDICAL CENTER","OZARK",NA
"146","DALE MEDICAL CENTER","OZARK",NA
"147","DALE MEDICAL CENTER","OZARK",NA
"148","DALE MEDICAL CENTER","OZARK",NA
"149","DALE MEDICAL CENTER","OZARK",NA
"150","DALE MEDICAL CENTER","OZARK",NA
"151","DALE MEDICAL CENTER","OZARK",NA
"152","DALE MEDICAL CENTER","OZARK",NA
"153","DALE MEDICAL CENTER","OZARK",NA
"154","DALE MEDICAL CENTER","OZARK",NA
"155","CHEROKEE MEDICAL CENTER","CENTRE",NA
"156","CHEROKEE MEDICAL CENTER","CENTRE",NA
"157","CHEROKEE MEDICAL CENTER","CENTRE",28
"158","CHEROKEE MEDICAL CENTER","CENTRE",NA
"159","CHEROKEE MEDICAL CENTER","CENTRE",NA
"160","CHEROKEE MEDICAL CENTER","CENTRE",NA
"161","CHEROKEE MEDICAL CENTER","CENTRE",NA
"162","CHEROKEE MEDICAL CENTER","CENTRE",NA
"163","CHEROKEE MEDICAL CENTER","CENTRE",NA
"164","CHEROKEE MEDICAL CENTER","CENTRE",NA
"165","CHEROKEE MEDICAL CENTER","CENTRE",NA
"166","CHEROKEE MEDICAL CENTER","CENTRE",NA
"167","CHEROKEE MEDICAL CENTER","CENTRE",NA
"168","CHEROKEE MEDICAL CENTER","CENTRE",NA
"169","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",205
"170","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",303
"171","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",141
"172","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"173","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"174","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"175","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"176","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"177","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"178","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"179","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"180","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"181","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"182","BAPTIST MEDICAL CENTER SOUTH","MONTGOMERY",NA
"183","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",158
"184","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",276
"185","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",252
"186","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"187","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"188","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"189","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"190","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"191","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"192","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"193","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"194","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"195","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"196","JACKSON HOSPITAL & CLINIC INC","MONTGOMERY",NA
"197","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",141
"198","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",344
"199","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",246
"200","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"201","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"202","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"203","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"204","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"205","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"206","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"207","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"208","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"209","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"210","THE EAST ALABAMA HEALTHCARE AUTHORITY","OPELIKA",NA
"211","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",273
"212","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",558
"213","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",339
"214","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"215","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"216","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"217","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"218","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"219","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"220","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"221","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"222","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"223","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"224","UNIVERSITY OF ALABAMA HOSPITAL","BIRMINGHAM",NA
"225","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"226","COMMUNITY HOSPITAL INC","TALLASSEE",28
"227","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"228","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"229","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"230","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"231","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"232","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"233","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"234","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"235","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"236","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"237","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"238","COMMUNITY HOSPITAL INC","TALLASSEE",NA
"239","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",68
"240","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",334
"241","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",314
"242","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"243","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"244","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"245","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"246","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"247","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"248","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"249","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"250","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"251","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"252","CULLMAN REGIONAL MEDICAL CENTER","CULLMAN",NA
"253","ANDALUSIA HEALTH","ANDALUSIA",NA
"254","ANDALUSIA HEALTH","ANDALUSIA",166
"255","ANDALUSIA HEALTH","ANDALUSIA",143
"256","ANDALUSIA HEALTH","ANDALUSIA",NA
"257","ANDALUSIA HEALTH","ANDALUSIA",NA
"258","ANDALUSIA HEALTH","ANDALUSIA",NA
"259","ANDALUSIA HEALTH","ANDALUSIA",NA
"260","ANDALUSIA HEALTH","ANDALUSIA",NA
"261","ANDALUSIA HEALTH","ANDALUSIA",NA
"262","ANDALUSIA HEALTH","ANDALUSIA",NA
"263","ANDALUSIA HEALTH","ANDALUSIA",NA
"264","ANDALUSIA HEALTH","ANDALUSIA",NA
"265","ANDALUSIA HEALTH","ANDALUSIA",NA
"266","ANDALUSIA HEALTH","ANDALUSIA",NA
"267","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"268","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",56
"269","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",65
"270","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"271","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"272","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"273","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"274","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"275","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"276","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"277","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"278","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"279","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"280","STRINGFELLOW CAMPUS OF NORTHEAST RMC","ANNISTON",NA
"281","HUNTSVILLE HOSPITAL","HUNTSVILLE",758
"282","HUNTSVILLE HOSPITAL","HUNTSVILLE",1044
"283","HUNTSVILLE HOSPITAL","HUNTSVILLE",1175
"284","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"285","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"286","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"287","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"288","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"289","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"290","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"291","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"292","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"293","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"294","HUNTSVILLE HOSPITAL","HUNTSVILLE",NA
"295","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",172
"296","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",233
"297","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",303
"298","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"299","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"300","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"301","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"302","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"303","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"304","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"305","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"306","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"307","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"308","GADSDEN REGIONAL MEDICAL CENTER","GADSDEN",NA
"309","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"310","MARION REGIONAL MEDICAL CENTER","HAMILTON",38
"311","MARION REGIONAL MEDICAL CENTER","HAMILTON",59
"312","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"313","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"314","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"315","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"316","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"317","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"318","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"319","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"320","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"321","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"322","MARION REGIONAL MEDICAL CENTER","HAMILTON",NA
"323","FAYETTE MEDICAL CENTER","FAYETTE",NA
"324","FAYETTE MEDICAL CENTER","FAYETTE",30
"325","FAYETTE MEDICAL CENTER","FAYETTE",70
"326","FAYETTE MEDICAL CENTER","FAYETTE",NA
"327","FAYETTE MEDICAL CENTER","FAYETTE",NA
"328","FAYETTE MEDICAL CENTER","FAYETTE",NA
"329","FAYETTE MEDICAL CENTER","FAYETTE",NA
"330","FAYETTE MEDICAL CENTER","FAYETTE",NA
"331","FAYETTE MEDICAL CENTER","FAYETTE",NA
"332","FAYETTE MEDICAL CENTER","FAYETTE",NA
"333","FAYETTE MEDICAL CENTER","FAYETTE",NA
"334","FAYETTE MEDICAL CENTER","FAYETTE",NA
"335","FAYETTE MEDICAL CENTER","FAYETTE",NA
"336","FAYETTE MEDICAL CENTER","FAYETTE",NA
"337","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",52
"338","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",187
"339","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",192
"340","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"341","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"342","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"343","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"344","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"345","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"346","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"347","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"348","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"349","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"350","RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN",NA
"351","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"352","MEDICAL CENTER ENTERPRISE","ENTERPRISE",70
"353","MEDICAL CENTER ENTERPRISE","ENTERPRISE",137
"354","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"355","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"356","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"357","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"358","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"359","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"360","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"361","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"362","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"363","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"364","MEDICAL CENTER ENTERPRISE","ENTERPRISE",NA
"365","GREENE COUNTY HOSPITAL","EUTAW",NA
"366","GREENE COUNTY HOSPITAL","EUTAW",NA
"367","GREENE COUNTY HOSPITAL","EUTAW",NA
"368","GREENE COUNTY HOSPITAL","EUTAW",NA
"369","GREENE COUNTY HOSPITAL","EUTAW",NA
"370","GREENE COUNTY HOSPITAL","EUTAW",NA
"371","GREENE COUNTY HOSPITAL","EUTAW",NA
"372","GREENE COUNTY HOSPITAL","EUTAW",NA
"373","GREENE COUNTY HOSPITAL","EUTAW",NA
"374","GREENE COUNTY HOSPITAL","EUTAW",NA
"375","GREENE COUNTY HOSPITAL","EUTAW",NA
"376","GREENE COUNTY HOSPITAL","EUTAW",NA
"377","GREENE COUNTY HOSPITAL","EUTAW",NA
"378","GREENE COUNTY HOSPITAL","EUTAW",NA
"379","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"380","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"381","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",33
"382","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"383","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"384","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"385","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"386","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"387","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"388","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"389","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"390","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"391","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"392","LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE",NA
"393","FLOWERS HOSPITAL","DOTHAN",254
"394","FLOWERS HOSPITAL","DOTHAN",335
"395","FLOWERS HOSPITAL","DOTHAN",322
"396","FLOWERS HOSPITAL","DOTHAN",NA
"397","FLOWERS HOSPITAL","DOTHAN",NA
"398","FLOWERS HOSPITAL","DOTHAN",NA
"399","FLOWERS HOSPITAL","DOTHAN",NA
"400","FLOWERS HOSPITAL","DOTHAN",NA
"401","FLOWERS HOSPITAL","DOTHAN",NA
"402","FLOWERS HOSPITAL","DOTHAN",NA
"403","FLOWERS HOSPITAL","DOTHAN",NA
"404","FLOWERS HOSPITAL","DOTHAN",NA
"405","FLOWERS HOSPITAL","DOTHAN",NA
"406","FLOWERS HOSPITAL","DOTHAN",NA
"407","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",160
"408","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",335
"409","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",332
"410","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",NA
"411","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",NA
"412","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",NA
"413","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",NA
"414","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",NA
"415","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",NA
"416","ST VINCENT'S BIRMINGHAM","BIRMINGHAM",NA
